st_name,year,ac_no,ac_name,ac_type,cand_name,cand_sex,partyname,partyabbre,totvotpoll,electors
Andhra Pradesh,1989.0,121,Darsi,GEN,Polepalli Satyanarayana,M,Independents,IND,334.0,172389
Andhra Pradesh,2014.0,266,Alur,GEN,G Vijay Kumar,M,IND,IND,448.0,438046
Andhra Pradesh,1994.0,133,Sulurpet,SC,Vankapuri Chalapathi,M,Independent,IND,42.0,142247
Andhra Pradesh,1985.0,270,Hanamkonda,GEN,Venkat Narayana Peddi,M,Independent,IND,251.0,134656
Andhra Pradesh,1989.0,219,Medchal,GEN,Bazaru Aileshwar Goud,M,Independents,IND,404.0,288720
Andhra Pradesh,2014.0,60,Khairatabad,GEN,None Of The Above,,NOTA,NOTA,1482.0,537366
Andhra Pradesh,2009.0,49,Lal Bahadur Nagar,GEN,P.Sudhakar Reddy,M,IND,IND,349.0,412728
Andhra Pradesh,1978.0,48,Kakinada,GEN,Gurram Kameswarao,M,Independent,IND,500.0,110642
Andhra Pradesh,1985.0,291,Alair,SC,Konapuram Chandraiah,M,Independent,IND,539.0,114507
Andhra Pradesh,2009.0,58,Malakpet,GEN,Md. Muzaffar Ali Khan,M,TDP,TDP,22468.0,193583
Andhra Pradesh,2014.0,239,Gudur ,SC,Dr.Bathala Radha Jyothsna Latha,F,TDP,TDP,71650.0,430408
Andhra Pradesh,2004.0,254,Karimnagar,GEN,Polu Arjun,M,Independent,IND,853.0,254255
Andhra Pradesh,1985.0,134,Venkatagiri,GEN,Dasaradha Ramaraju Kinduru,M,Independent,IND,425.0,123334
Andhra Pradesh,2014.0,247,Rayachoti,GEN,Chidambar Reddy Mulala,M,NCP,NCP,439.0,450776
Andhra Pradesh,1989.0,152,Rayachoty,GEN,P. Siddi Ramulu,M,Independents,IND,53.0,141906
Andhra Pradesh,1983.0,158,Jammalamadugu,GEN,Tatireddi Narasimha Reddy,M,Indian National Congress,INC,33238.0,111179
Andhra Pradesh,1994.0,157,Proddatur,GEN,Nagaiah Janjala,M,Independent,IND,18.0,184612
Andhra Pradesh,2009.0,190,Gannavaram,GEN,Muddaraboina Venkateswara Rao,M,INC,INC,66923.0,201578
Andhra Pradesh,1999.0,37,Chintapalli,ST,Bhaskararao Vanthala,M,Ntr Telugu Desam Party (Lakshmi Parvathi),NTRTDP(LP),2019.0,158744
Andhra Pradesh,2014.0,47,Uppal,GEN,Bethi Subhas Reddy,M,TRS,TRS,68226.0,909468
Andhra Pradesh,1994.0,267,Wardhannapet,GEN,Takkallapally Rajeshwar Rao,M,Bharatiya Janata Party,BJP,19672.0,142015
Andhra Pradesh,2014.0,224,Addanki ,GEN,Jasti Sriranganayakulu,M,IND,IND,227.0,441062
Andhra Pradesh,2004.0,185,Nandikotkur,GEN,Kukutla Boreddy,M,Pyramid Party Of India,PPOI,259.0,172117
Andhra Pradesh,1983.0,111,Chirala,GEN,Bandaru Nageswara Rao,M,Indian Congress (Jagjivan Ram),ICJ,478.0,133603
Andhra Pradesh,2014.0,245,Kadapa,GEN,Venkala Bhagyalakshmi,F,PPOI,PPOI,259.0,540198
Andhra Pradesh,1994.0,167,Kalyandrug,SC,Balaram,M,Bharatiya Janata Party,BJP,1101.0,166213
Andhra Pradesh,1994.0,188,Achampet,SC,Rama Dasu,M,Lok Party,LP,758.0,147495
Andhra Pradesh,1989.0,76,Nandigama,GEN,Mullela Pullaiah Babu,M,Telugu Desam,TDP,49008.0,134124
Andhra Pradesh,1978.0,245,Luxettipet,GEN,K. V. Krishna Rao,M,Indian National Congress,INC,18984.0,88532
Andhra Pradesh,2014.0,280,Kadiri,GEN,Vaditye Ramu Naik,M,IND,IND,283.0,447114
Andhra Pradesh,2014.0,164,Razole ,SC,Vijaya Prasad Sarella,M,INC,INC,1119.0,348166
Andhra Pradesh,2014.0,7,Adilabad,GEN,Bhuma Reddy Patil,M,BSP,BSP,1701.0,446524
Andhra Pradesh,2004.0,47,Sampara,GEN,Anisetti Bulliabbai Reddy,M,Indian National Congress,INC,59090.0,201137
Andhra Pradesh,2009.0,52,Serilingampally,GEN,Mohd.A.B Parwaiz Siddiqui,M,SP,SP,262.0,380856
Andhra Pradesh,1994.0,182,Koilkuntla,GEN,Kurnool Balaramudu,M,Independent,IND,143.0,143813
Andhra Pradesh,2004.0,106,Gurzala,GEN,Chilaka Ijaiah,M,Independent,IND,115.0,212908
Andhra Pradesh,2014.0,241,Venkatagiri,GEN,Kommi Lakshmaiah Naidu,M,YSRCP,YSRCP,78034.0,432078
Andhra Pradesh,2014.0,248,Pulivendla,GEN,Tugutla Raghava Reddy,M,RJD,RJD,625.0,450424
Andhra Pradesh,1983.0,176,Adoni,GEN,Narasanna,M,Independents,IND,290.0,108380
Andhra Pradesh,2004.0,103,Tadikonda,SC,Potluri Balaiah,M,Bahujan Samaj Party,BSP,1354.0,148406
Andhra Pradesh,1985.0,160,Pulivendla,GEN,Peddamallu Venkatasubba Reddy,M,Independent,IND,42.0,127849
Andhra Pradesh,2014.0,201,Mylavaram,GEN,Puli Sangeetha Rao,M,IND,IND,89.0,468050
Andhra Pradesh,1985.0,72,Kovvur,GEN,Md. Fijulla,M,Independent,IND,395.0,130433
Andhra Pradesh,1989.0,85,Gudivada,GEN,Appa Rao Vempala,M,Independents,IND,93.0,145655
Andhra Pradesh,2014.0,70,Secunderabad,GEN,Jayasudha Kapoor,F,INC,INC,14090.0,479322
Andhra Pradesh,2014.0,219,Gurazala,GEN,Vattepu Mariyadasu,M,IND,IND,353.0,477246
Andhra Pradesh,1999.0,215,Karwan,GEN,B.Purushotham,M,Independent,IND,757.0,283971
Andhra Pradesh,2004.0,185,Nandikotkur,GEN,N.Padmanabha Reddy,M,Independent,IND,396.0,172117
Andhra Pradesh,1983.0,150,Kodur,SC,Policherla Subbanna,M,Independents,IND,106.0,105528
Andhra Pradesh,1985.0,122,Markapur,GEN,Dasari Nageswara Rao,M,Independent,IND,821.0,122179
Andhra Pradesh,2009.0,228,Kandukur,GEN,Atchuta Malakondaiah,M,BJP,BJP,533.0,185120
Andhra Pradesh,2014.0,287,Srikalahasti,GEN,Kuntrapaku Surendra Babu,M,BSP,BSP,2491.0,456776
Andhra Pradesh,1999.0,63,Undi,GEN,Mutyala Venkateswara Rao (Ratnam),M,Anna Telugu Desam Party,ATDP,24826.0,150309
Andhra Pradesh,2009.0,270,Tadpatri,GEN,Diwakar Reddy J.C.,M,INC,INC,63358.0,202829
Andhra Pradesh,2004.0,62,Bhimavaram,GEN,Venkata Narasimharaju Penmetsa,M,Telugu Desam,TDP,56034.0,172259
Andhra Pradesh,1985.0,98,Bapatla,GEN,Kasu Radhakrishna Reddy,M,Independent,IND,336.0,127752
Andhra Pradesh,2014.0,169,Rajahmundry City,GEN,None Of The Above,,NOTA,NOTA,1122.0,459484
Andhra Pradesh,1994.0,132,Gudur,SC,Patra Prakasa Rao,M,Indian National Congress,INC,36386.0,158726
Andhra Pradesh,1985.0,292,Bhongir,GEN,Vadicherla Chandriah,M,Independent,IND,405.0,123200
Andhra Pradesh,1989.0,157,Proddatur,GEN,Nandyala Varadarajula Reddy,M,Indian National Congress,INC,77386.0,173661
Andhra Pradesh,1983.0,104,Sattenapalli,GEN,Benjamen Choutupalle,M,Independents,IND,110.0,128448
Andhra Pradesh,2014.0,128,Rajam ,SC,None Of The Above,,NOTA,NOTA,694.0,398698
Andhra Pradesh,1985.0,197,Gadwal,GEN,N. Gopala Reddy,M,Telugu Desam,TDP,38311.0,127600
Andhra Pradesh,2014.0,236,Nellore City,GEN,Arava Kiran Kumar,M,IND,IND,53.0,488764
Andhra Pradesh,2014.0,258,Nandyal,GEN,Yeturi Chinna Pullaiah,M,IND,IND,124.0,485536
Andhra Pradesh,1989.0,219,Medchal,GEN,S.K. Rahiman,M,Independents,IND,715.0,288720
Andhra Pradesh,2004.0,182,Koilkuntla,GEN,Bodhanam Bala Naganna,M,Independent,IND,727.0,157630
Andhra Pradesh,1994.0,152,Rayachoty,GEN,U. Hari,M,Bahujan Samaj Party,BSP,127.0,142357
Andhra Pradesh,2009.0,282,Pileru,GEN,Kavali Venugopal Nayunivaru,M,LSP,LSP,598.0,190578
Andhra Pradesh,2014.0,194,Machilipatnam,GEN,Sesha Sai Durga Rao Vadlamudi,M,BSP,BSP,275.0,364722
Andhra Pradesh,1994.0,254,Karimnagar,GEN,Gone Kishan,M,Independent,IND,276.0,195167
Andhra Pradesh,2009.0,181,Tadepalligudem,GEN,Karri Seetha Ramachandrarao,M,LSP,LSP,2142.0,171744
Andhra Pradesh,1978.0,270,Hanamkonda,GEN,Sheelam Rajalingam,M,Independent,IND,766.0,103952
Andhra Pradesh,1985.0,51,Ramachandrapuram,GEN,Subhas Chanra Bose Pilli,M,Indian National Congress,INC,23836.0,109427
Andhra Pradesh,1994.0,80,Mylavaram,GEN,P. Dhanarao,M,Independent,IND,137.0,162185
